         849118 function calls (847173 primitive calls) in 215.035 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    10854  132.690    0.012  132.734    0.012 {built-in method numpy.fromfile}
       52   47.974    0.923  212.941    4.095 /home/maximw/Github/tfe-ff-benchmark/src/convert/imzml_to_zarr/one_phase.py:126(read_chunk_into)
     4320   16.318    0.004   16.418    0.004 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/core.py:1996(_encode_chunk)
     4320    5.212    0.001   26.381    0.006 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/core.py:1897(_process_for_setitem)
     1812    4.641    0.003    4.641    0.003 {method 'fill' of 'numpy.ndarray' objects}
     4331    4.500    0.001    4.500    0.001 {method 'write' of '_io.BufferedWriter' objects}
        1    1.436    1.436  214.521  214.521 /home/maximw/Github/tfe-ff-benchmark/src/convert/imzml_to_zarr/one_phase.py:513(_tmp)
     4320    0.335    0.000   32.030    0.007 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/core.py:1865(_chunk_setitem)
        1    0.225    0.225    0.441    0.441 /home/maximw/tfe_env/lib/python3.8/site-packages/pyimzml/ImzMLParser.py:159(__iter_read_spectrum_meta)
     4345    0.153    0.000    0.153    0.000 {built-in method io.open}
    19179    0.148    0.000    0.148    0.000 {built-in method posix.stat}
    38002    0.120    0.000    0.120    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pyimzml/ImzMLParser.py:48(_get_cv_param)
     5427    0.088    0.000    0.210    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pyimzml/ImzMLParser.py:226(__process_spectrum)
     4331    0.072    0.000    0.072    0.000 {built-in method posix.replace}
     4331    0.070    0.000    5.234    0.001 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/storage.py:848(__setitem__)
     4320    0.065    0.000   31.693    0.007 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/core.py:1891(_chunk_setitem_nosync)
    10854    0.064    0.000    0.064    0.000 {method 'seek' of '_io.BufferedReader' objects}
     4331    0.052    0.000    4.705    0.001 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/storage.py:822(_tofile)
    16281    0.040    0.000    0.070    0.000 /usr/lib/python3.8/collections/__init__.py:400(_make)
    18045    0.038    0.000    0.039    0.000 {built-in method _abc._abc_instancecheck}
     7672    0.037    0.000    0.119    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/numcodecs/compat.py:53(ensure_contiguous_ndarray)
     7679    0.037    0.000    0.037    0.000 {method 'reshape' of 'numpy.ndarray' objects}
    10479    0.033    0.000    0.047    0.000 /usr/lib/python3.8/posixpath.py:71(join)
     4373    0.032    0.000    0.066    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/indexing.py:296(__iter__)
3611/3581    0.031    0.000    0.031    0.000 {built-in method numpy.array}
     4331    0.029    0.000    0.036    0.000 /usr/lib/python3.8/uuid.py:132(__init__)
       53    0.029    0.001   32.157    0.607 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/core.py:1601(_set_selection)
     1858    0.027    0.000    0.027    0.000 {built-in method numpy.empty}
   100623    0.026    0.000    0.037    0.000 {built-in method builtins.isinstance}
    24196    0.026    0.000    0.026    0.000 {built-in method __new__ of type object at 0x908780}
      2/1    0.022    0.011    0.027    0.027 {built-in method _imp.exec_dynamic}
    11992    0.020    0.000    0.051    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/numcodecs/compat.py:10(ensure_ndarray)
     4338    0.016    0.000    0.023    0.000 /usr/lib/python3.8/posixpath.py:100(split)
     4331    0.015    0.000    0.015    0.000 {built-in method posix.urandom}
    18045    0.015    0.000    0.054    0.000 /usr/lib/python3.8/abc.py:96(__instancecheck__)
    19900    0.015    0.000    0.016    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/util.py:193(<genexpr>)
    10907    0.014    0.000    0.014    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/core.py:303(dtype)
     3328    0.014    0.000    0.018    0.000 /usr/lib/python3.8/multiprocessing/synchronize.py:97(__exit__)
     4320    0.013    0.000    0.034    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/util.py:179(is_total_slice)
     4331    0.013    0.000    0.085    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/util.py:629(retry_call)
     4331    0.012    0.000    0.063    0.000 /usr/lib/python3.8/uuid.py:780(uuid4)
     6941    0.012    0.000    0.030    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/numpy/core/numeric.py:1865(isscalar)
31177/29885    0.011    0.000    0.012    0.000 {built-in method builtins.len}
     4489    0.011    0.000    0.011    0.000 {method 'join' of 'str' objects}
     8670    0.010    0.000    0.052    0.000 /usr/lib/python3.8/genericpath.py:16(exists)
     2577    0.009    0.000    0.009    0.000 {method 'astype' of 'numpy.ndarray' objects}
     6941    0.009    0.000    0.039    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/indexing.py:36(is_scalar)
     4331    0.009    0.000    0.075    0.000 /usr/lib/python3.8/genericpath.py:39(isdir)
