         1378372 function calls (1376121 primitive calls) in 20.932 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       51    6.416    0.126   15.844    0.311 /home/maximw/Github/tfe-ff-benchmark/src/convert/imzml_to_zarr/one_phase.py:126(read_chunk_into)
    49878    6.202    0.000    6.257    0.000 {built-in method numpy.fromfile}
        1    2.725    2.725    4.769    4.769 /home/maximw/tfe_env/lib/python3.8/site-packages/pyimzml/ImzMLParser.py:159(__iter_read_spectrum_meta)
      832    1.490    0.002    1.509    0.002 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/core.py:1996(_encode_chunk)
   349152    1.135    0.000    1.135    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pyimzml/ImzMLParser.py:48(_get_cv_param)
      841    0.963    0.001    0.963    0.001 {method 'write' of '_io.BufferedWriter' objects}
    49877    0.862    0.000    2.018    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pyimzml/ImzMLParser.py:226(__process_spectrum)
      267    0.138    0.001    0.138    0.001 {method 'fill' of 'numpy.ndarray' objects}
    49878    0.111    0.000    0.111    0.000 {method 'seek' of '_io.BufferedReader' objects}
        1    0.100    0.100   15.979   15.979 /home/maximw/Github/tfe-ff-benchmark/src/convert/imzml_to_zarr/one_phase.py:400(_tmp)
      832    0.055    0.000    1.718    0.002 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/core.py:1897(_process_for_setitem)
    49877    0.050    0.000    0.086    0.000 /usr/lib/python3.8/collections/__init__.py:400(_make)
       11    0.042    0.004    0.042    0.004 {pandas._libs.lib.maybe_convert_objects}
    51677    0.036    0.000    0.036    0.000 {built-in method _abc._abc_instancecheck}
      851    0.034    0.000    0.034    0.000 {built-in method io.open}
     3601    0.032    0.000    0.032    0.000 {built-in method posix.stat}
1266/1211    0.030    0.000    0.031    0.000 {built-in method numpy.array}
      2/1    0.029    0.014    0.041    0.041 {built-in method _imp.exec_dynamic}
      832    0.029    0.000    2.882    0.003 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/core.py:1865(_chunk_setitem)
    51768    0.028    0.000    0.028    0.000 {built-in method __new__ of type object at 0x908780}
   350448    0.025    0.000    0.025    0.000 {method 'append' of 'list' objects}
    51677    0.021    0.000    0.058    0.000 /usr/lib/python3.8/abc.py:96(__instancecheck__)
        1    0.019    0.019    0.025    0.025 /home/maximw/Github/tfe-ff-benchmark/src/convert/imzml_to_zarr/one_phase.py:89(add_chunk_idx)
    49928    0.017    0.000    0.017    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/core.py:303(dtype)
      841    0.016    0.000    1.129    0.001 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/storage.py:848(__setitem__)
      841    0.015    0.000    0.015    0.000 {built-in method posix.replace}
        2    0.012    0.006    0.016    0.008 /home/maximw/tfe_env/lib/python3.8/site-packages/pyimzml/ImzMLParser.py:193(fix)
58496/56908    0.012    0.000    0.012    0.000 {built-in method builtins.len}
      841    0.010    0.000    1.006    0.001 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/storage.py:822(_tofile)
        2    0.010    0.005    0.010    0.005 {built-in method _imp.create_dynamic}
    35937    0.009    0.000    0.014    0.000 {built-in method builtins.isinstance}
     1666    0.008    0.000    0.026    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/numcodecs/compat.py:53(ensure_contiguous_ndarray)
      884    0.007    0.000    0.015    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/indexing.py:296(__iter__)
      841    0.007    0.000    0.009    0.000 /usr/lib/python3.8/uuid.py:132(__init__)
