         910295 function calls (908100 primitive calls) in 3.142 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.856    0.856    1.682    1.682 /home/maximw/tfe_env/lib/python3.8/site-packages/pyimzml/ImzMLParser.py:159(__iter_read_spectrum_meta)
    40044    0.640    0.000    0.659    0.000 {built-in method numpy.fromfile}
   140167    0.454    0.000    0.454    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pyimzml/ImzMLParser.py:48(_get_cv_param)
    20022    0.338    0.000    0.800    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pyimzml/ImzMLParser.py:226(__process_spectrum)
      544    0.178    0.000    0.186    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/core.py:1996(_encode_chunk)
       64    0.159    0.002    1.291    0.020 /home/maximw/Github/tfe-ff-benchmark/src/convert/imzml_to_zarr/one_phase.py:126(read_chunk_into)
    40044    0.035    0.000    0.035    0.000 {method 'seek' of '_io.BufferedReader' objects}
      2/1    0.026    0.013    0.037    0.037 {built-in method _imp.exec_dynamic}
      555    0.025    0.000    0.025    0.000 {method 'write' of '_io.BufferedWriter' objects}
        1    0.025    0.025    1.354    1.354 /home/maximw/Github/tfe-ff-benchmark/src/convert/imzml_to_zarr/one_phase.py:513(_tmp)
    60066    0.024    0.000    0.040    0.000 /usr/lib/python3.8/collections/__init__.py:400(_make)
       11    0.017    0.002    0.017    0.002 {pandas._libs.lib.maybe_convert_objects}
      544    0.017    0.000    0.220    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/core.py:1897(_process_for_setitem)
       68    0.017    0.000    0.017    0.000 {built-in method numpy.zeros}
      569    0.014    0.000    0.014    0.000 {built-in method io.open}
     2552    0.014    0.000    0.014    0.000 {built-in method posix.stat}
  837/801    0.012    0.000    0.012    0.000 {built-in method numpy.array}
    61380    0.011    0.000    0.011    0.000 {built-in method __new__ of type object at 0x908780}
    41266    0.011    0.000    0.011    0.000 {built-in method _abc._abc_instancecheck}
   142108    0.011    0.000    0.011    0.000 {method 'append' of 'list' objects}
    41266    0.009    0.000    0.020    0.000 /usr/lib/python3.8/abc.py:96(__instancecheck__)
        2    0.009    0.004    0.009    0.004 {built-in method _imp.create_dynamic}
      301    0.008    0.000    0.008    0.000 {method 'fill' of 'numpy.ndarray' objects}
      165    0.007    0.000    0.011    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pyimzml/metadata.py:137(__init__)
68538/66988    0.007    0.000    0.007    0.000 {built-in method builtins.len}
      555    0.007    0.000    0.095    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/storage.py:848(__setitem__)
    30987    0.006    0.000    0.010    0.000 {built-in method builtins.isinstance}
        1    0.006    0.006    0.009    0.009 /home/maximw/Github/tfe-ff-benchmark/src/convert/imzml_to_zarr/one_phase.py:89(add_chunk_idx)
      555    0.006    0.000    0.006    0.000 {built-in method posix.replace}
    40109    0.006    0.000    0.006    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/core.py:303(dtype)
       67    0.005    0.000    0.005    0.000 {built-in method builtins.exec}
        2    0.005    0.002    0.007    0.003 /home/maximw/tfe_env/lib/python3.8/site-packages/pyimzml/ImzMLParser.py:193(fix)
       66    0.005    0.000    0.005    0.000 {built-in method builtins.next}
      555    0.005    0.000    0.044    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/storage.py:822(_tofile)
       65    0.004    0.000    0.010    0.000 /usr/lib/python3.8/collections/__init__.py:313(namedtuple)
     1404    0.004    0.000    0.005    0.000 /usr/lib/python3.8/posixpath.py:71(join)
      609    0.003    0.000    0.007    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/indexing.py:296(__iter__)
