,tile_x,tile_z,chunk_x,chunk_z,order,compressor,mean,std
0,128.0,1.0,128.0,1.0,C,'default',0.4136,0.03259
1,256.0,1.0,128.0,1.0,C,'default',0.6655,0.005388
2,512.0,1.0,128.0,1.0,C,'default',1.204,0.006431
3,1024.0,1.0,128.0,1.0,C,'default',2.288,0.007853
4,128.0,-1.0,128.0,1.0,C,'default',0.4113,0.004461
5,256.0,-1.0,128.0,1.0,C,'default',0.6781,0.0008377
6,512.0,-1.0,128.0,1.0,C,'default',1.201,0.02065
7,128.0,1.0,128.0,1.0,C,None,0.2903,0.02781
8,256.0,1.0,128.0,1.0,C,None,0.4801,0.001139
9,512.0,1.0,128.0,1.0,C,None,0.8702,0.01702
10,1024.0,1.0,128.0,1.0,C,None,1.661,0.0334
11,128.0,-1.0,128.0,1.0,C,None,0.281,0.001496
12,256.0,-1.0,128.0,1.0,C,None,0.4894,0.000317
13,512.0,-1.0,128.0,1.0,C,None,0.9024,0.002277
14,128.0,1.0,128.0,1.0,F,'default',0.3555,0.02123
15,256.0,1.0,128.0,1.0,F,'default',0.5478,0.00208
16,512.0,1.0,128.0,1.0,F,'default',0.94,0.005613
17,1024.0,1.0,128.0,1.0,F,'default',1.739,0.02651
18,128.0,-1.0,128.0,1.0,F,'default',0.334,0.0005356
19,256.0,-1.0,128.0,1.0,F,'default',0.5304,0.007705
20,512.0,-1.0,128.0,1.0,F,'default',0.9161,0.003832
21,128.0,1.0,128.0,1.0,F,None,0.2243,0.03916
22,256.0,1.0,128.0,1.0,F,None,0.3369,0.0007234
23,512.0,1.0,128.0,1.0,F,None,0.6005,0.001144
24,1024.0,1.0,128.0,1.0,F,None,1.132,0.01894
25,128.0,-1.0,128.0,1.0,F,None,0.2056,0.000279
26,256.0,-1.0,128.0,1.0,F,None,0.3357,0.0003585
27,512.0,-1.0,128.0,1.0,F,None,0.5976,0.0007457
28,128.0,1.0,256.0,1.0,C,'default',0.3266,0.00894
29,256.0,1.0,256.0,1.0,C,'default',0.5386,0.004478
30,512.0,1.0,256.0,1.0,C,'default',0.9719,0.04076
31,1024.0,1.0,256.0,1.0,C,'default',1.826,0.01566
32,128.0,-1.0,256.0,1.0,C,'default',0.3151,0.006132
33,256.0,-1.0,256.0,1.0,C,'default',0.5145,0.004053
34,512.0,-1.0,256.0,1.0,C,'default',0.9395,0.001077
35,128.0,1.0,256.0,1.0,C,None,0.2012,0.03427
36,256.0,1.0,256.0,1.0,C,None,0.3668,0.01703
37,512.0,1.0,256.0,1.0,C,None,0.7924,0.009451
38,1024.0,1.0,256.0,1.0,C,None,1.619,0.008472
39,128.0,-1.0,256.0,1.0,C,None,0.2045,0.002277
40,256.0,-1.0,256.0,1.0,C,None,0.3927,0.004928
41,512.0,-1.0,256.0,1.0,C,None,0.8068,0.003696
42,128.0,1.0,256.0,1.0,F,'default',0.268,0.03128
43,256.0,1.0,256.0,1.0,F,'default',0.3814,0.0008618
44,512.0,1.0,256.0,1.0,F,'default',0.623,0.005191
45,1024.0,1.0,256.0,1.0,F,'default',1.089,0.009866
46,128.0,-1.0,256.0,1.0,F,'default',0.2555,0.007413
47,256.0,-1.0,256.0,1.0,F,'default',0.3789,0.0009616
48,512.0,-1.0,256.0,1.0,F,'default',0.6222,0.001978
49,128.0,1.0,256.0,1.0,F,None,0.1437,0.04784
50,256.0,1.0,256.0,1.0,F,None,0.2044,0.001307
51,512.0,1.0,256.0,1.0,F,None,0.3662,0.004891
52,1024.0,1.0,256.0,1.0,F,None,0.6975,0.007053
53,128.0,-1.0,256.0,1.0,F,None,0.1363,0.001875
54,256.0,-1.0,256.0,1.0,F,None,0.2151,0.0004246
55,512.0,-1.0,256.0,1.0,F,None,0.3763,0.000684
56,128.0,1.0,512.0,1.0,C,'default',0.5606,0.02417
57,256.0,1.0,512.0,1.0,C,'default',0.9435,0.008137
58,512.0,1.0,512.0,1.0,C,'default',1.663,0.05102
59,1024.0,1.0,512.0,1.0,C,'default',2.922,0.3224
60,128.0,-1.0,512.0,1.0,C,'default',0.436,0.002833
