,chunk_x,chunk_z,order,compressor,mean,std,size_full,size_disk
0,128.0,1.0,C,'default',189.0,1.072,4.7G,3.3G
1,128.0,1.0,C,None,193.4,5.088,4.7G,4.7G
2,128.0,1.0,F,'default',225.5,4.978,4.7G,3.3G
3,128.0,1.0,F,None,178.1,5.59,4.7G,4.7G
4,256.0,1.0,C,'default',107.3,6.113,4.7G,3.3G
5,256.0,1.0,C,None,118.3,5.978,4.7G,4.8G
6,256.0,1.0,F,'default',138.4,5.919,4.7G,3.3G
7,256.0,1.0,F,None,134.6,8.361,4.7G,4.8G
8,512.0,1.0,C,'default',93.78,4.903,4.7G,3.3G
9,512.0,1.0,C,None,67.88,7.836,4.7G,5.0G
10,512.0,1.0,F,'default',91.31,6.098,4.7G,3.3G
11,512.0,1.0,F,None,91.75,3.548,4.7G,5.0G
12,1024.0,1.0,C,'default',59.59,5.688,4.7G,3.3G
13,1024.0,1.0,C,None,80.9,0.5912,4.7G,5.6G
14,1024.0,1.0,F,'default',75.72,7.284,4.7G,3.3G
15,1024.0,1.0,F,None,64.83,6.044,4.7G,5.6G
16,128.0,-1.0,C,'default',21.05,6.743,4.7G,3.3G
17,128.0,-1.0,C,None,15.54,2.689,4.7G,4.7G
18,128.0,-1.0,F,'default',24.92,5.941,4.7G,3.3G
19,128.0,-1.0,F,None,24.45,5.906,4.7G,4.7G
20,256.0,-1.0,C,'default',14.88,7.613,4.7G,3.3G
21,256.0,-1.0,C,None,16.4,7.656,4.7G,4.8G
22,256.0,-1.0,F,'default',19.34,7.408,4.7G,3.3G
23,256.0,-1.0,F,None,16.56,5.384,4.7G,4.8G
24,512.0,-1.0,C,'default',12.33,5.703,4.7G,3.3G
25,512.0,-1.0,C,None,17.7,6.45,4.7G,5.0G
26,512.0,-1.0,F,'default',34.34,6.714,4.7G,3.3G
27,512.0,-1.0,F,None,39.6,3.497,4.7G,5.0G
